design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,d_shaft_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
2825,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.02,0.006,0.017,0.011,0.0041,0.003,0.0028,0.03820935760835723,0.10403541970691008,0.0218976417989824,1.8855833333333333e-09,34700.239527153084,3.7168749078986076,9335.864237295895,True
2826,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.016,0.007,0.019,0.019,0.0061,0.0014,0.0031,0.035441251663666996,0.20048691666243815,0.021820349194926134,1.0860083333333333e-08,199857.2464497334,4.22180814141111,47339.253645698,True
2827,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.014,0.004,0.005,0.014,0.0057,0.0039,0.0032,0.017766829964578075,0.03844368212358054,0.021792838268058643,1.4583333333333337e-10,2683.759189133244,3.372542590376519,795.7673230847539,True
2828,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.017,0.009,0.014,0.002,0.0033,0.0035,0.0029,0.048629519680204555,0.015571189627129804,0.02187275096038801,9.333333333333335e-12,171.7605881045276,3.2531745882854777,52.79783898565699,True
2829,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.012,0.005,0.013,0.015,0.0032,0.0038,0.0032,0.01899596758925018,0.10842485276775052,0.021792838268058643,2.74625e-09,50539.01947307774,3.7392393910914015,13515.855548988136,True
2830,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.019,0.008,0.017,0.014,0.0053,0.0031,0.0017,0.048442956480695736,0.13221055979350715,0.022113799081512644,3.887333333333334e-09,71538.28494553574,3.8658261469729602,18505.303194131488,True
2831,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.015,0.01,0.014,0.014,0.0076,0.0012,0.0034,0.04265922311860702,0.12018456394524743,0.02173519632605058,3.201333333333334e-09,48157.04049008812,3.672590618642617,13112.553369176463,True
2832,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.01,0.007,0.008,0.016,0.0072,0.0021,0.0012,0.019699773535391072,0.07831172911469868,0.02217711788144575,6.826666666666668e-10,10269.223128248694,3.457257501359399,2970.3379410445473,True
2833,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.014,0.014,0.02,0.002,0.0044,0.0012,0.0038,0.05592273591239589,0.02456145499703878,0.021609432088942074,1.3333333333333334e-11,200.57076422360728,3.17421055892012,63.187605390564364,True
2834,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.011,0.015,0.009,0.002,0.0056,0.0022,0.0011,0.04693204005642501,0.011014906776579634,0.022187161553159272,5.9999999999999995e-12,90.25684390062327,3.1070861174682376,29.048710105971473,True
2835,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.02,0.006,0.012,0.01,0.0031,0.0036,0.0038,0.03451548303838135,0.07369446651097691,0.021609432088942074,1e-09,15042.807316770546,3.429910212871017,4385.772916247542,True
2836,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.019,0.014,0.017,0.008,0.0051,0.0028,0.004,0.07657370947281733,0.08366857263712962,0.021541309793841633,7.253333333333334e-10,10911.049573764238,3.4814180911260677,3134.081942521029,True
2837,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.014,0.019,0.015,0.018,0.0055,0.0033,0.0025,0.07623451016704454,0.16588451530498757,0.02196707413821939,5.062499999999999e-09,76154.21204115088,3.911775577160844,19467.939951816817,True
2838,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.009,0.018,0.009,0.007,0.0062,0.0026,0.0016,0.04569152415084234,0.03858100853421945,0.02212820956701466,2.5725e-10,3869.762182239223,3.2502026457005577,1190.6218177990324,True
2839,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.012,0.01,0.011,0.003,0.0057,0.0037,0.0025,0.034253222696237706,0.02024484259958627,0.02196707413821939,2.4750000000000002e-11,372.309481090071,3.1538352530001728,118.04975568584356,True
2840,0.101,0.219,0.106,0.2500878419843687,1.6586219112430338,3.1415926535897927,0.015,0.014,0.008,0.018,0.0067,0.0037,0.0031,0.060208904337891875,0.08811544714855368,0.021820349194926134,7.679999999999999e-10,11552.876019279778,3.5061946624647287,3294.989905425993,True
2841,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.013,0.002,0.008,0.005,0.0059,0.0029,0.0017,0.00779097830806147,0.019036397510475162,0.022113799081512644,8.333333333333336e-11,2080.357790425698,3.2479076266214455,640.5224623305369,True
2842,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.016,0.013,0.006,0.004,0.0067,0.0028,0.0038,0.06254337640806407,0.011367990777584897,0.021609432088942074,3.2e-11,798.8573915234679,3.2045263642037023,249.29031648705975,True
2843,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.009,0.002,0.009,0.01,0.007,0.0023,0.0032,0.005299851679422888,0.042882966909323764,0.021792838268058643,6.074999999999999e-10,15165.808292203334,3.3714205057500326,4498.343729694267,True
2844,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.013,0.002,0.019,0.015,0.0035,0.0037,0.0037,0.007808612850326574,0.13672578478853362,0.021642183192355745,5.343749999999999e-09,133402.94331104783,3.8641781182474277,34522.9798494775,True
2845,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.019,0.009,0.014,0.011,0.006,0.0026,0.0015,0.05159415169081878,0.07344164854271139,0.02214174668975898,1.552833333333333e-09,38765.38706679244,3.534281222435918,10968.393465892432,True
2846,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.013,0.012,0.01,0.013,0.0037,0.0022,0.0023,0.0467639336429957,0.06196361714609688,0.02200899555058889,1.0833333333333335e-09,27044.651275534077,3.4730998496181,7786.891378463505,True
2847,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.02,0.003,0.008,0.019,0.0074,0.003,0.0027,0.018130517929268834,0.07236370973216226,0.021921659274819098,8.106666666666668e-10,20237.720585261188,3.527284839388271,5737.478402444802,True
