design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
70,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.011,0.011,0.011,0.003,0.0036,0.0012,0.0034,0.10605654486115917,0.05028870187869449,0.06098364436805558,2.4750000000000002e-11,474.44826821556205,0.44976797886093867,1054.8733803085038,True
71,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.009,0.011,0.01,0.002,0.0026,0.0021,0.0024,0.06901555539577416,0.037354395010580674,0.0616942726262976,6.666666666666667e-12,84.9125628745183,0.3554720446297247,238.8726881827429,True
72,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.01,0.001,0.006,0.002,0.0036,0.0019,0.0021,0.0069769904289735335,0.022365737264981016,0.0618596774795091,4e-12,50.947537724710976,0.27820203717670877,183.131432974914,True
73,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.004,0.008,0.008,0.004,0.003,0.0021,0.0029,0.021944071383239627,0.05971465330101163,0.061369589025549086,4.2666666666666674e-11,543.4404023969172,0.4725538005623199,1150.0074737527136,True
74,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.004,0.002,0.004,0.003,0.0032,0.0024,0.002,0.005469884618415998,0.022303347625850636,0.06190991154604,9e-12,114.6319598805997,0.27802036138394925,412.3149804927117,True
75,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.005,0.008,0.007,0.003,0.0013,0.002,0.0024,0.02769193966969675,0.039165387625850645,0.0616942726262976,1.575e-11,200.60592979104948,0.3650208599089898,549.5738787122092,True
76,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.01,0.005,0.005,0.002,0.0035,0.0033,0.0015,0.03376720957346035,0.019370205942874138,0.0621243252446475,3.3333333333333335e-12,39.10141788716356,0.2575543895180145,151.81809931617815,True
77,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.006,0.008,0.008,0.01,0.0034,0.0034,0.0016,0.03196387549444447,0.15544699387876063,0.062086343389465594,6.666666666666668e-10,7820.283577432712,0.9835532081696404,7951.052889132453,True
78,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.005,0.004,0.008,0.004,0.0027,0.0023,0.0026,0.013341734362459157,0.06221704170648909,0.061571750512807596,4.2666666666666674e-11,500.4981489556936,0.47997061068237157,1042.768323344086,True
79,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.009,0.007,0.005,0.002,0.0027,0.0033,0.0017,0.04246359179186312,0.01937016452761078,0.06204591109201389,3.3333333333333335e-12,39.10141788716356,0.25735291522386944,151.9369533978254,True
