design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
41,0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,3.1415926535897927,0.007,0.005,0.002,0.008,0.0027,0.0012,0.0014,0.027291945487308074,0.023333209925653596,0.0621598566575596,8.533333333333335e-11,1760.567254046211,0.3194593907951432,5511.08311345649,True
42,0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,3.1415926535897927,0.011,0.009,0.011,0.009,0.0016,0.0013,0.0016,0.07733316645795037,0.14528676645795036,0.062086343389465594,6.682499999999997e-10,13787.098447457574,1.0111094416668134,13635.614384857834,True
43,0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,3.1415926535897927,0.007,0.004,0.009,0.002,0.0022,0.0033,0.0035,0.021836745430960456,0.026448643829384135,0.06089910410974749,5.9999999999999995e-12,123.78988505012417,0.33292960453193365,371.81999847733755,True
44,0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,3.1415926535897927,0.006,0.011,0.005,0.007,0.0021,0.003,0.0035,0.051374278151954486,0.051026991780918116,0.06089910410974749,1.429166666666667e-10,2948.6062897355973,0.46956501889375,6279.44197521832,True
45,0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,3.1415926535897927,0.008,0.007,0.005,0.008,0.0023,0.0025,0.0038,0.043796653183613886,0.05831280698875675,0.06063078068120439,2.1333333333333335e-10,4401.418135115527,0.5092489627027681,8642.959451022956,True
46,0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,3.1415926535897927,0.011,0.01,0.004,0.01,0.0035,0.0028,0.0031,0.09928396536999291,0.06225139455979974,0.061222562489361095,3.333333333333334e-10,6012.234014330267,0.5025073916887235,11964.468809355396,True
47,0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,3.1415926535897927,0.011,0.008,0.007,0.009,0.0015,0.0037,0.0025,0.07925303900438774,0.0987039490756542,0.0616342367906875,4.252499999999999e-10,7670.107543781836,0.6808045702345393,11266.239797919483,True
48,0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,3.1415926535897927,0.003,0.003,0.007,0.005,0.0011,0.0012,0.0015,0.008034827459887725,0.05485552335030548,0.0621243252446475,7.291666666666669e-11,1315.176190634746,0.4695502042320143,2800.927736334006,True
49,0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,3.1415926535897927,0.003,0.012,0.012,0.004,0.0016,0.0014,0.0018,0.03210012002821512,0.07535161700197042,0.0620030283522924,6.4e-11,1154.348930751411,0.5686471819962564,2029.991473269994,True
50,0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,3.1415926535897927,0.004,0.002,0.004,0.01,0.0012,0.0033,0.0023,0.007102930234066828,0.062282396101865894,0.061751858019637895,3.333333333333334e-10,6012.234014330267,0.5043892921908859,11919.828805673655,True
51,0.107,0.193,0.076,0.24996449076047664,1.7153350747645895,3.1415926535897927,0.012,0.006,0.012,0.004,0.0016,0.0039,0.004,0.0609824346129848,0.07297329696759541,0.06043964618415997,6.4e-11,1239.6025995343887,0.5692522061442858,2177.59823528939,True
52,0.107,0.193,0.076,0.24996449076047664,1.7153350747645895,3.1415926535897927,0.007,0.007,0.007,0.008,0.0025,0.0011,0.0013,0.04126345476167761,0.08468443434835161,0.0621929376282019,2.986666666666667e-10,5784.812131160482,0.6370287626659534,9080.927691476836,True
53,0.107,0.193,0.076,0.24996449076047664,1.7153350747645895,3.1415926535897927,0.007,0.011,0.011,0.011,0.0025,0.0035,0.0031,0.06481933749523923,0.1837948566295097,0.061222562489361095,1.220083333333333e-09,23631.53861950909,1.1634586065556163,20311.456279024434,True
54,0.107,0.193,0.076,0.24996449076047664,1.7153350747645895,3.1415926535897927,0.008,0.005,0.009,0.003,0.0038,0.003,0.004,0.033726820414948594,0.04092344207441249,0.06043964618415997,2.0249999999999998e-11,392.21801000892765,0.40248303269607133,974.4957629185449,True
55,0.107,0.193,0.076,0.24996449076047664,1.7153350747645895,3.1415926535897927,0.011,0.011,0.008,0.008,0.0033,0.0012,0.0016,0.10227926628736754,0.09684844461841599,0.062086343389465594,3.413333333333334e-10,6611.213864183408,0.701677218702014,9422.015832882607,True
