design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,sigma_rod,tau_rod,sigma_crank,tau_crank,sigma_pin,tau_pin,sigma,tau
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,150.0,674702.6572039863,172423.81771390495,40625.46962701367,13102396.501354447,1209503.5683130424,181425.53524695634,1209503.5683130424,13102396.501354447
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,165.0,779067.1676787632,108849.39480263034,48457.601896237575,12776296.192121213,1239318.0929693773,185897.71394540658,1239318.0929693773,12776296.192121213
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,180.0,869269.1809768205,58863.03190930143,58488.26654117484,11652780.908804132,1281374.0694776697,192206.11042165043,1281374.0694776697,11652780.908804132
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,195.0,943182.9086428253,27273.123345193027,67990.8470903465,9650446.946982065,1319163.7291898327,197874.55937847486,1319163.7291898327,9650446.946982065
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,210.00000000000003,1000567.0443657746,27679.870950583456,74981.67613771567,6854970.7839192245,1344368.18759792,201655.22813968797,1344368.18759792,6854970.7839192245
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,225.0,1042384.1563236763,50412.60676581356,77999.33034394549,3486328.9326109593,1350919.254087847,202637.888113177,1350919.254087847,3486328.9326109593
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,239.99999999999997,1070230.9891315033,81440.0214222718,76232.65609828914,128554.33346919238,1334160.3152769026,200124.04729153536,1334160.3152769026,200124.04729153536
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,255.00000000000003,1085788.837513222,112549.90130321198,69736.02597494221,3609893.177547611,1291820.7793701894,193773.11690552835,1291820.7793701894,3609893.177547611
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,270.0,1090329.5919422337,143898.91957985962,59506.76005071782,6612663.400557315,1225577.4262252483,183836.6139337872,1225577.4262252483,6612663.400557315
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,285.0,1084360.439635563,174034.4199700811,47225.91401785899,8922950.293968001,1142067.4947349213,171310.12421023817,1142067.4947349213,8922950.293968001
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,300.0,1067486.0934999199,199882.05549890138,37462.02890747575,10511186.60621109,1052223.4110689291,157833.51166033934,1067486.0934999199,10511186.60621109
